Event-id,Event Name,claim-id,claim-url,claim-category,claim-text,claim-goldevidence
eid1,Momina Iqbal (Entertainment),c1,https://www.geo.tv/latest/594997-fact-check-claim-about-momina-iqbals-gender-identity-and-family-is-false,entertainment,"A user on X (formerly Twitter) posted: “Momina Iqbal is a great actress and has played some good roles. But today I found out that she is a transgender, and my respect for her has grown.”",g1
eid2,Terrorists(train hijack),c2,https://www.sochfactcheck.com/viral-clip-of-jaffar-express-hostages-released-by-bla-predates-hijacking-balochistan-pakistan/,"Conflict, palistan",A video shows civilians passengers released by the BLA a few hours after the separatist militant group hijacked the Jaffar Express in March 2025.,g2
eid3,accident,c3,https://www.geo.tv/latest/597000-water-tanker-runs-over-man-pregnant-wife-and-newborn-in-karachi,accident,"Water tanker runs over man, pregnant wife and newborn in Karachi",g3
eid4,political,c4,https://www.geo.tv/latest/593898-fact-check-claim-of-free-electricity-in-punjab-for-ramadan-debunked-as-false,political,"In Punjab, electricity bill will be free for the month of Ramadan"", which has since been shared over 125 times and liked over 1,400 times at the time of writing.",g4
eid5,social,c5,https://www.geo.tv/latest/587955-fact-check-viral-claim-of-pakistani-flag-burning-in-kurram-is-false,"Conflict, palistan","people burning the Pakistani flag, with the caption: ""Lower Kurram's Bagan area update: Today in the Bagan area of Kurram district, the people of Bagan set the flag of Pakistan on fire in broad daylight.""",g5
eid6,accident,c6,https://www.sochfactcheck.com/clip-of-dumper-truck-dragging-bikers-under-tyres-not-from-karachi-pakistan-but-agra-india/,accident, A video shows two men and their motorcycle being dragged under a dumper truck’s front tyres for a few hundred metres after it hit them and tried to speed away in Karachi.,g6
eid7,sports,c7,https://www.sochfactcheck.com/babar-azam-did-not-retire-from-international-cricket/,sports,Babar Azam announced his retirement from international cricket,g7
eid8,social,c8,https://www.geo.tv/latest/589576-american-woman-returns-home-after-spending-nearly-four-months-in-pakistan,social,Failed love story: American woman returns home after spending nearly four months in Pakistan,g8
eid9,Maulana tariq jameel bank account,c9,https://www.sochfactcheck.com/fia-is-not-pursuing-inquiry-against-maulana-tariq-jameel/#,religion," Journalist Waseem Badami recently asserted that the Federal Investigation Agency (FIA) had consolidated all of Maulana Tariq Jameel’s bank accounts, totalling PKR 49 billion.",g9
eid10,Scam Alert,c10,https://www.sochfactcheck.com/scam-alert-viral-video-spreads-false-information-about-us-visa-for-pakistanis/,social,Scam alert: viral video spreads false information about US visa for Pakistanis,g10
eid11,train hijack,c11,https://www.sochfactcheck.com/viral-clip-of-jaffar-express-hostages-released-by-bla-predates-hijacking-balochistan-pakistan/,"Conflict, palistan",A video shows civilians passengers released by the BLA a few hours after the separatist militant group hijacked the Jaffar Express in March 2025.,g11
eid12,BLA militants,c12,https://www.sochfactcheck.com/visual-dead-bodies-lying-in-desert-not-bla-militants-2025-jaffar-express-hijacking-balochistan-pakistan/,"Conflict, palistan",A picture shows the dead bodies of the BLA militants who were killed in an operation by the Pakistan Army after the armed group targeted and hijacked Jaffar Express on 11 March 2025.,g12
