claim-id,claim,gold-evidence,retrieved,MRR@10
c1,"A user on X (formerly Twitter) posted: “Momina Iqbal is a great actress and has played some good roles. But today I found out that she is a transgender, and my respect for her has grown.”",g1,"['g1', 'page_40', 'g18', 'page_7305', 'page_2557', 'page_11199', 'page_6277', 'page_5607', 'page_10784', 'page_3473']",1.0
c2,A video shows civilians passengers released by the BLA a few hours after the separatist militant group hijacked the Jaffar Express in March 2025.,g2,"['g11', 'page_3', 'g2', 'g15', 'g17', 'page_21', 'g25', 'page_19', 'page_15', 'page_13']",0.3333333333333333
c3,"Water tanker runs over man, pregnant wife and newborn in Karachi",g3,"['g3', 'page_5251', 'page_4747', 'g6', 'page_696', 'page_11523', 'page_8445', 'page_8442', 'page_1434', 'page_6698']",1.0
c4,"In Punjab, electricity bill will be free for the month of Ramadan"", which has since been shared over 125 times and liked over 1,400 times at the time of writing.",g4,"['g4', 'page_7537', 'page_9044', 'page_5960', 'page_1638', 'page_8905', 'page_3244', 'page_10403', 'page_3237', 'page_2977']",1.0
c5,"people burning the Pakistani flag, with the caption: ""Lower Kurram's Bagan area update: Today in the Bagan area of Kurram district, the people of Bagan set the flag of Pakistan on fire in broad daylight.""",g5,"['g5', 'page_98', 'page_2121', 'page_6069', 'page_7547', 'page_7394', 'page_7466', 'page_6144', 'page_342', 'page_948']",1.0
c6, A video shows two men and their motorcycle being dragged under a dumper truck’s front tyres for a few hundred metres after it hit them and tried to speed away in Karachi.,g6,"['g6', 'page_44', 'page_1473', 'page_3011', 'g38', 'g3', 'page_1055', 'page_5483', 'page_940', 'page_1419']",1.0
c7,Babar Azam announced his retirement from international cricket,g7,"['g7', 'page_14', 'page_8730', 'page_8490', 'page_7885', 'page_11641', 'page_11646', 'page_8018', 'page_2600', 'page_4925']",1.0
c8,Failed love story: American woman returns home after spending nearly four months in Pakistan,g8,"['g8', 'page_6261', 'page_5758', 'page_6177', 'page_7163', 'page_3346', 'page_10449', 'page_4147', 'page_4654', 'page_10436']",1.0
c9," Journalist Waseem Badami recently asserted that the Federal Investigation Agency (FIA) had consolidated all of Maulana Tariq Jameel’s bank accounts, totalling PKR 49 billion.",g9,"['g9', 'page_2', 'page_2562', 'page_2814', 'page_2823', 'page_8686', 'page_3905', 'page_2678', 'page_3514', 'page_7244']",1.0
c10,Scam alert: viral video spreads false information about US visa for Pakistanis,g10,"['page_90', 'page_63', 'page_7920', 'g55', 'page_868', 'page_989', 'page_4617', 'page_3109', 'page_1159', 'page_3318']",0.0
c11,A video shows civilians passengers released by the BLA a few hours after the separatist militant group hijacked the Jaffar Express in March 2025.,g11,"['g11', 'page_3', 'g2', 'g15', 'g17', 'page_21', 'g25', 'page_19', 'page_15', 'page_13']",1.0
c12,A picture shows the dead bodies of the BLA militants who were killed in an operation by the Pakistan Army after the armed group targeted and hijacked Jaffar Express on 11 March 2025.,g12,"['g12', 'page_15', 'page_10', 'page_21', 'g15', 'g17', 'g25', 'page_13', 'g11', 'g2']",1.0
c13,Trump has agreed to recognise the government of Afghanistan.,g13,"['g13', 'page_24', 'page_9896', 'page_4528', 'page_6784', 'page_6671', 'page_6587', 'page_6734', 'page_2610', 'page_6666']",1.0
c14,"On his three-day visit to the US in 2019, former premier Imran Khan was not received by any American official, forcing him to travel by metro train inside the US.",g14,"['g14', 'page_23', 'page_539', 'page_118', 'page_45', 'g107', 'page_824', 'page_1291', 'page_1233', 'page_3813']",1.0
c15,A video clip shows four army helicopters heading to Bolan to counter BLA militants who had hijacked Jaffar Express on 11 March 2025,g15,"['g15', 'page_13', 'g2', 'g11', 'g17', 'page_21', 'page_652', 'page_10', 'page_3', 'g25']",1.0
c16,The Chief Justice of Pakistan Yahya Afridi freed Imran Khan from jail,g16,"['g16', 'page_16', 'page_11215', 'page_10955', 'page_11221', 'page_11225', 'page_892', 'page_560', 'page_6009', 'page_677']",1.0
c17,A video shows the Pakistani military’s operation against the Balochistan Liberation Army (BLA) after the hijacking of the Jaffar Express in Balochistan,g17,"['g17', 'g15', 'page_19', 'g25', 'g11', 'g2', 'g20', 'page_7', 'page_13', 'page_3']",1.0
c18,"During a medical test, it was found that Dr Mahrang Baloch is transgender.",g18,"['g18', 'page_17', 'page_11372', 'page_691', 'page_10392', 'page_6292', 'page_2695', 'page_222', 'page_5890', 'page_1331']",1.0
c19,A video shows the New Zealand government’s anthem featuring the 99 names of God which was performed at the Abdala church.,g19,"['g19', 'page_29', 'page_2061', 'page_10033', 'page_7759', 'page_5823', 'page_10022', 'page_10015', 'page_1251', 'page_1277']",1.0
c20,A video of Salman Akram Raja expressing support for Mahrang Baloch proves the Pakistan Tehreek-e-Insaf is linked to the Balochistan Liberation Army (BLA) and its attack on Jaffar Express.,g20,"['g20', 'page_26', 'g17', 'page_19', 'g15', 'g2', 'g25', 'page_36', 'g11', 'page_3']",1.0
c21,A video shows Bilawal Bhutto Zardari criticising Shehbaz Sharif and the PML-N while speaking at the National Assembly.,g21,"['g21', 'page_39', 'g22', 'page_38', 'page_645', 'g42', 'g57', 'g60', 'page_1478', 'page_153']",1.0
c22,"During a heated speech in the National Assembly, Shazia Marri allegedly said, “Release Imran Khan, or you’ll have to face Trump’s wrath.",g22,"['g22', 'page_38', 'g44', 'page_74', 'g53', 'g108', 'page_119', 'page_152', 'page_817', 'page_2122']",1.0
c23,"During a recent interview, former Chief Justice Qazi Faez Isa claimed that hidden powers influenced anti-PTI verdicts and his role was limited. ",g23,"['g23', 'page_30', 'page_2057', 'page_11091', 'page_734', 'page_11778', 'page_10171', 'page_11295', 'page_11090', 'page_11039']",1.0
c24,The State Bank of Pakistan (SBP) will not issue fresh banknotes ahead of Eid-ul-Fitr this year.,g24,"['g24', 'page_34', 'page_1690', 'page_3676', 'g79', 'page_854', 'page_3945', 'page_317', 'page_1467', 'page_7959']",1.0
c25,A viral video on social media shows an improvised explosive device (IED) attack on Jaffar Express in Balochistan by the Baloch Liberation Army (BLA).,g25,"['g25', 'page_36', 'page_2058', 'page_7', 'g17', 'g15', 'page_13', 'page_3', 'g11', 'page_4248']",1.0
c26,"Justice Mansoor Ali Shah said “For Pakistan’s better future, former Prime Minister Imran Khan must be brought back.”",g26,"['g26', 'page_37', 'page_11026', 'page_10836', 'page_6256', 'page_10605', 'page_6496', 'page_1688', 'page_9077', 'page_10441']",1.0
c27,"The United Kingdom has banned five Pakistani banks from being used for submitting bank statements in student visa applications. These banks include UBL Bank, MCB Bank, National Bank of Pakistan, Faysal Bank, and Allied Bank.",g27,"['g27', 'page_31', 'page_430', 'page_3109', 'page_1674', 'page_3318', 'page_3021', 'page_3716', 'page_5526', 'page_8604']",1.0
c28,A video shows Indian spectators chanting “Qaidi [Prisoner] Number 804” during the India vs. Pakistan match at the ICC Champions Trophy 2025 in Dubai,g28,"['g28', 'page_43', 'g50', 'page_79', 'page_4783', 'page_5270', 'page_5348', 'page_5363', 'page_9826', 'page_10543']",1.0
c29,Hamid Mir revealed that Imran Khan recently slapped a colonel in Adiala jail.,g29,"['g29', 'page_42', 'page_2163', 'page_567', 'page_725', 'page_539', 'page_560', 'page_882', 'page_892', 'page_840']",1.0
c30,Turkish President Recep Tayyip Erdoğan reminisced about Imran Khan while addressing the National Assembly during his February 2025 trip. He said he “wished” that he “could shake hands with” the former prime minister and hoped to “meet Imran Khan” in the future.,g30,"['g30', 'page_45', 'page_2063', 'page_5443', 'page_5537', 'page_5623', 'page_1444', 'page_5529', 'page_6503', 'page_5665']",1.0
c31,New Zealand cricketer Rachin Ravindra’s phone was stolen from a hospital in Lahore where he was undergoing treatment for an injury,g31,"['g31', 'page_47', 'page_5730', 'page_11380', 'page_4978', 'page_3669', 'page_7938', 'page_11686', 'page_2761', 'page_6692']",1.0
c32,"Dubai will give individuals 50,000 dirhams if they give birth to babies.",g32,"['g32', 'page_46', 'page_1211', 'page_8214', 'page_4879', 'page_5898', 'page_8489', 'g158', 'page_11196', 'page_4783']",1.0
c33,A video shows Ukrainian President Volodymyr Zelenskyy dancing.,g33,"['g33', 'page_41', 'page_287', 'page_5213', 'page_4739', 'page_2365', 'page_1884', 'page_1185', 'page_1605', 'page_9909']",1.0
c34,The Pakistan cricket team is the first hosting team in history to get eliminated first in a championship.,g34,"['g34', 'page_50', 'page_5033', 'page_4596', 'page_9249', 'page_8806', 'page_8569', 'page_4686', 'page_5070', 'page_5382']",1.0
c35," A collage of photos shows Sudan’s Defence Minister Aqeed Ibrahim, comparing how he appeared during his time in power to his current impoverished state.",g35,"['g35', 'g63', 'page_57', 'page_1888', 'page_251', 'page_3786', 'page_959', 'page_586', 'page_8820', 'g61']",1.0
c36,Geo News reported that Qayamat has been postponed.,g36,"['g36', 'page_56', 'page_5883', 'page_9637', 'page_3093', 'page_7099', 'page_11566', 'page_8520', 'page_7494', 'page_7507']",1.0
c37,"Chief Minister of Punjab, Maryam Nawaz, stated that Punjab would be the first province in Pakistan to transition its mass transit system to electric vehicles.",g37,"['g37', 'page_55', 'g120', 'page_5236', 'page_6162', 'page_7122', 'page_2897', 'page_4749', 'page_4793', 'page_5220']",1.0
c38,A video shows vehicles bumping over a pothole-ridden road in Karachi.,g38,"['g38', 'page_58', 'page_2065', 'g6', 'page_1473', 'page_1434', 'page_940', 'page_1781', 'page_7526', 'page_7900']",1.0
c39,A rally was held in China in support of Imran Khan.  ,g39,"['g39', 'page_60', 'page_1567', 'page_1562', 'page_152', 'page_1298', 'page_1412', 'page_9851', 'page_9840', 'page_534']",1.0
c40,A video shows Trump breaking down and crying over the January 2025 Los Angeles wildfires during a visit to the disaster site in California.,g40,"['g40', 'page_66', 'g98', 'page_86', 'g100', 'page_93', 'page_84', 'page_127', 'page_7154', 'g55']",1.0
c41, A video shows a man accusing soldiers of the Pakistan Army of assaulting his daughter.  ,g41,"['g41', 'page_2069', 'page_61', 'page_1013', 'page_1835', 'page_897', 'page_768', 'page_667', 'page_125', 'g90']",1.0
c42,A video circulating online claims that Prime Minister Shehbaz Sharif accused Chief of Army Staff General Asim Munir of destroying the country and doing so in Sharif’s name.,g42,"['g42', 'page_72', 'g21', 'g60', 'page_518', 'page_1047', 'page_1478', 'page_157', 'page_1568', 'page_125']",1.0
c43,"A viral post on social media claimed that the Bangladesh military has been abolished and replaced with a new ‘Border Security Force’, which exclusively handles border security. ",g43,"['g43', 'page_73', 'page_563', 'page_945', 'g45', 'page_10757', 'page_1125', 'page_8553', 'page_6763', 'g5']",1.0
c44,US President Donald Trump called Imran Khan a convict who was involved in fraudulent cases. Trump further said that the Pakistani diaspora in the US urged him to advocate for the release of the jailed former Prime Minister of Pakistan.,g44,"['g44', 'page_74', 'g108', 'g107', 'g53', 'page_119', 'page_2122', 'page_162', 'page_8043', 'page_4053']",1.0
c45,A video shows Pakistani forces attacking a post by the Afghan Taliban near the Pakistan-Afghanistan border and also shooting down their quadcopter.,g45,"['g45', 'page_75', 'g46', 'page_70', 'page_563', 'page_2089', 'page_467', 'page_95', 'g17', 'page_1640']",1.0
c46,Video shows the Pakistan Army opening fire at the Afghan Taliban.,g46,"['g46', 'page_70', 'g45', 'page_75', 'g17', 'page_2089', 'page_95', 'page_467', 'page_563', 'page_1640']",1.0
c47,The image shows a Delta passenger jet lying upside down after it made a rough landing and crashed at Toronto Pearson Airport in Canada on 17 February.,g47,"['g47', 'page_67', 'page_5319', 'page_1932', 'page_7162', 'page_2444', 'page_7731', 'page_1933', 'page_5786', 'page_223']",1.0
c48,"Spectators at the Rawalpindi Cricket Stadium chanted against the Federal Minister for Information and Broadcasting Attaullah Tarar, calling him a thief [“chor chor”], when the camera focused on him.",g48,"['g48', 'page_65', 'page_79', 'g50', 'page_9763', 'g28', 'page_1516', 'g59', 'page_1568', 'page_1308']",1.0
c49,"Geo News reported that England needed 50,000 urgent workers and 10 companies are offering free visas.",g49,"['g49', 'page_63', 'page_8604', 'page_6305', 'page_2756', 'page_3716', 'page_7920', 'page_6923', 'page_322', 'page_8539']",1.0
c50, A video shows the crowd at the National Stadium in Karachi chanting “Qaidi Number 804” when batsman Babar Azam appeared to speak.,g50,"['g50', 'page_79', 'g28', 'page_43', 'page_2068', 'g48', 'page_2152', 'page_5600', 'page_65', 'page_11340']",1.0
c51,An image shows former Pakistani military chief Gen (r) Qamar Javed Bajwa in a swimming pool posing alongside a woman wearing a swimsuit.,g51,"['g51', 'page_81', 'page_1255', 'page_1253', 'page_4515', 'page_1289', 'page_1724', 'page_1626', 'page_1723', 'page_9153']",1.0
c52,A video shows an elderly woman being dragged and attacked by stray dogs on a street in Karachi. ,g52,"['g52', 'page_83', 'page_12', 'page_531', 'page_1636', 'page_8007', 'page_133', 'page_10670', 'page_845', 'page_11135']",1.0
c53,"An video clip circulating on social media supposedly features US President Donald Trump making statements about Imran Khan and Pakistan’s incumbent government in an interview. He can be heard criticising former US President Joe Biden, Prime Minister of Pakistan Shehbaz Sharif and the Pakistani Army.",g53,"['g53', 'page_82', 'g44', 'page_566', 'g55', 'page_162', 'page_74', 'page_119', 'g108', 'page_10138']",1.0
c54,"PTI’s Junaid Akbar recently met Manzoor Pashteen, founder and head of the Pashtun Tahafuz Movement (PTM) ahead of PTI’s rally on 8 February in Swabi.",g54,"['g54', 'page_80', 'page_2771', 'page_6512', 'page_302', 'page_5258', 'page_11780', 'page_169', 'page_10041', 'page_5638']",1.0
c55,"On March 22, an Instagram user shared a 24-second video allegedly showing Donald Trump stating: “I know that Christians in Pakistan are living very difficult lives. False blasphemy accusations are made against them. Christian girls are forcibly converted to Islam and are called derogatory names like easi and chura. If the Pakistani government does not put an end to these injustices, I will bring all Pakistani Christians to America.",g55,"['g55', 'page_5', 'page_2160', 'page_315', 'page_2148', 'page_10138', 'page_1740', 'g71', 'page_201', 'page_2102']",1.0
c56,New Zealand beat Pakistan by 43 runs to sweep ODI series 3-0,g56,"['g56', 'page_3315', 'page_5660', 'page_3667', 'page_3470', 'page_5269', 'page_3764', 'page_11305', 'page_3935', 'page_10662']",1.0
c57,"A video shows Bushra Bibi, wife of the former Prime Minister Imran Khan, addressing a crowd unveiled.",g57,"['g57', 'page_150', 'page_2112', 'page_2129', 'page_447', 'page_9777', 'page_941', 'page_9581', 'page_9703', 'page_6']",1.0
c58,Ali Amin Gandapur accused Bushra Bibi of corruption and collecting extortion money in Peshawar.,g58,"['g58', 'page_153', 'page_9659', 'page_9608', 'page_9665', 'page_6', 'g57', 'page_7191', 'page_9737', 'page_10895']",1.0
c59, A doctor displayed anger and frustration at the government after witnessing casualties from the recent PTI protest at D-Chowk.,g59,"['g59', 'page_160', 'page_2104', 'page_186', 'page_246', 'page_122', 'page_191', 'page_161', 'page_9633', 'page_2548']",1.0
c60,A video shows Nawaz Sharif belittling Khawaja Asif during a press conference.,g60,"['g60', 'page_157', 'page_830', 'page_986', 'page_2115', 'page_518', 'page_145', 'page_193', 'g42', 'page_1005']",1.0
c61,"A picture shows a sea of containers that were put in place ahead of the PTI’s November march, blocking a road in Islamabad.",g61,"['g61', 'page_188', 'page_204', 'page_170', 'page_9648', 'page_1506', 'page_9683', 'page_9762', 'page_9592', 'page_9393']",1.0
c62,"An image of a wounded girl has surfaced on social media, who was injured during the recent violence in Parachinar.",g62,"['g62', 'page_195', 'page_174', 'g90', 'page_693', 'page_2125', 'page_404', 'page_353', 'page_1316', 'page_529']",1.0
c63,"A collage of photos shows Sudan’s Defence Minister Aqeed Ibrahim, comparing how he appeared during his time in power to his current impoverished state.",g63,"['g35', 'g63', 'page_57', 'page_1888', 'page_251', 'page_3786', 'page_959', 'page_586', 'page_8820', 'g61']",0.5
c64,"Geo News reported that a new mobile application called ‘mizmaxs’ allows you to earn PKR 1,200 as soon as you download it and you can keep earning more from that point.  The report also claims that you can earn money every 4 minutes if you have a phone with a touchscreen.",g64,"['g64', 'page_89', 'page_63', 'page_6530', 'page_5801', 'page_3331', 'page_9034', 'page_7665', 'page_8898', 'page_5593']",1.0
c65,French medical reports show that Algerian boxer Imane Khelif was born as a man with XY chromosomes.,g65,"['g65', 'page_131', 'page_274', 'page_182', 'g74', 'page_267', 'page_262', 'page_713', 'page_141', 'page_8074']",1.0
c66,"Shahbaz Gill defended Richard Grenell and spoke against criticisms of Grenell based on his sexual orientation, saying it is a sign of ignorance to criticise him for his sexuality.",g66,"['g66', 'page_130', 'page_2095', 'page_2096', 'page_141', 'page_1401', 'page_1420', 'page_2179', 'page_8057', 'page_1400']",1.0
c67,There are now over 100 Sharia courts in the UK.,g67,"['g67', 'page_148', 'g69', 'page_489', 'page_8166', 'page_165', 'page_2247', 'page_5672', 'page_4811', 'page_7202']",1.0
c68, Migratory birds returned to the “highlands of Afghanistan” after the withdrawal of US-led international troops in 2021. A video showing numerous birds near the mountains serves as evidence.,g68,"['g68', 'page_146', 'page_6589', 'page_7880', 'g45', 'page_1733', 'page_362', 'page_1409', 'page_1187', 'page_467']",1.0
c69,"50% of Muslims and 70% of Pakistanis in the UK are inbred, and the majority of disabled children in the UK are born to Muslim parents",g69,"['g69', 'page_165', 'page_489', 'page_760', 'page_6720', 'page_52', 'page_148', 'page_7911', 'g67', 'page_7202']",1.0
c70,Pictures show Jennifer Lopez wearing a sacred sword during a performance at Riyadh Season 2024.,g70,"['g70', 'page_178', 'page_4689', 'page_2116', 'page_199', 'page_8634', 'g113', 'page_9653', 'page_6364', 'page_5469']",1.0
c71,A video from Pakistan shows a woman from a religious minority being forcefully converted to Islam,g71,"['g71', 'page_201', 'page_450', 'page_501', 'page_1588', 'page_133', 'page_2160', 'page_1835', 'page_1722', 'page_1740']",1.0
